date,start_time,stop_time,algae_id,species,sample_id,file_id_csv,light_dark,run_block,blank,chamber_channel,light_level,light_value
2026-02-03,13:03,13:18,DA03T,da,DA03T_TPI,DA03T_TPI_RUN2_O2.csv,light,run2,0,3,4,298
2026-02-03,13:03,13:18,SF03T,sf,SF03T_TPI,SF03T_TPI_RUN2_O2.csv,light,run2,0,4,4,298
2026-02-03,13:03,13:18,BLANKAT01_RUN2,blank,BLANKAT01_TPI_RUN2,BLANKAT01_TPI_RUN2_O2.csv,light,run2,1,5,4,298
2026-02-03,13:03,13:18,AV01T,av,AV01T_TPI,AV01T_TPI_RUN2_O2.csv,light,run2,0,6,4,298
2026-02-03,13:03,13:18,SF04T,sf,SF04T_TPI,SF04T_TPI_RUN2_O2.csv,light,run2,0,7,4,298
2026-02-03,13:03,13:18,CS01T,cs,CS01T_TPI,CS01T_TPI_RUN2_O2.csv,light,run2,0,8,4,298
2026-02-03,13:03,13:18,BLANKAT02_RUN2,blank,BLANKAT02_TPI_RUN2,BLANKAT02_TPI_RUN2_O2.csv,light,run2,1,9,4,298
2026-02-03,13:03,13:18,AV04T,av,AV04T_TPI,AV04T_TPI_RUN2_O2.csv,light,run2,0,10,4,298
2026-02-03,13:03,13:18,GS01T,gs,GS01T_TPI,GS01T_TPI_RUN2_O2.csv,light,run2,0,11,4,298
2026-02-03,13:03,13:18,AS02T,as,AS02T_TPI,AS02T_TPI_RUN2_O2.csv,light,run2,0,12,4,298
2026-02-03,13:22,13:37,AS01T,as,AS01T_TPI,AS01T_TPI_RUN2_O2.csv,light,run2,0,1,5,397
2026-02-03,13:22,13:37,CS04T,cs,CS04T_TPI,CS04T_TPI_RUN2_O2.csv,light,run2,0,2,5,397
2026-02-03,13:22,13:37,DA03T,da,DA03T_TPI,DA03T_TPI_RUN2_O2.csv,light,run2,0,3,5,397
2026-02-03,13:22,13:37,SF03T,sf,SF03T_TPI,SF03T_TPI_RUN2_O2.csv,light,run2,0,4,5,397
2026-02-03,13:22,13:37,BLANKAT01_RUN2,blank,BLANKAT01_TPI_RUN2,BLANKAT01_TPI_RUN2_O2.csv,light,run2,1,5,5,397
2026-02-03,13:22,13:37,AV01T,av,AV01T_TPI,AV01T_TPI_RUN2_O2.csv,light,run2,0,6,5,397
2026-02-03,13:22,13:37,SF04T,sf,SF04T_TPI,SF04T_TPI_RUN2_O2.csv,light,run2,0,7,5,397
2026-02-03,13:22,13:37,CS01T,cs,CS01T_TPI,CS01T_TPI_RUN2_O2.csv,light,run2,0,8,5,397
2026-02-03,13:22,13:37,BLANKAT02_RUN2,blank,BLANKAT02_TPI_RUN2,BLANKAT02_TPI_RUN2_O2.csv,light,run2,1,9,5,397
2026-02-03,13:22,13:37,AV04T,av,AV04T_TPI,AV04T_TPI_RUN2_O2.csv,light,run2,0,10,5,397
2026-02-03,13:22,13:37,GS01T,gs,GS01T_TPI,GS01T_TPI_RUN2_O2.csv,light,run2,0,11,5,397
2026-02-03,13:22,13:37,AS02T,as,AS02T_TPI,AS02T_TPI_RUN2_O2.csv,light,run2,0,12,5,397
2026-02-03,13:55,14:10,AS01T,as,AS01T_TPI,AS01T_TPI_RUN2_O2.csv,light,run2,0,1,6,490
2026-02-03,13:55,14:10,CS04T,cs,CS04T_TPI,CS04T_TPI_RUN2_O2.csv,light,run2,0,2,6,490
2026-02-03,13:55,14:10,DA03T,da,DA03T_TPI,DA03T_TPI_RUN2_O2.csv,light,run2,0,3,6,490
2026-02-03,13:55,14:10,SF03T,sf,SF03T_TPI,SF03T_TPI_RUN2_O2.csv,light,run2,0,4,6,490
2026-02-03,13:55,14:10,BLANKAT01_RUN2,blank,BLANKAT01_TPI_RUN2,BLANKAT01_TPI_RUN2_O2.csv,light,run2,1,5,6,490
2026-02-03,13:55,14:10,AV01T,av,AV01T_TPI,AV01T_TPI_RUN2_O2.csv,light,run2,0,6,6,490
2026-02-03,13:55,14:10,SF04T,sf,SF04T_TPI,SF04T_TPI_RUN2_O2.csv,light,run2,0,7,6,490
2026-02-03,13:55,14:10,CS01T,cs,CS01T_TPI,CS01T_TPI_RUN2_O2.csv,light,run2,0,8,6,490
2026-02-03,13:55,14:10,BLANKAT02_RUN2,blank,BLANKAT02_TPI_RUN2,BLANKAT02_TPI_RUN2_O2.csv,light,run2,1,9,6,490
2026-02-03,13:55,14:10,AV04T,av,AV04T_TPI,AV04T_TPI_RUN2_O2.csv,light,run2,0,10,6,490
2026-02-03,13:55,14:10,GS01T,gs,GS01T_TPI,GS01T_TPI_RUN2_O2.csv,light,run2,0,11,6,490
2026-02-03,13:55,14:10,AS02T,as,AS02T_TPI,AS02T_TPI_RUN2_O2.csv,light,run2,0,12,6,490
2026-02-03,14:16,14:31,AS01T,as,AS01T_TPI,AS01T_TPI_RUN2_O2.csv,light,run2,0,1,7,595
2026-02-03,14:16,14:31,CS04T,cs,CS04T_TPI,CS04T_TPI_RUN2_O2.csv,light,run2,0,2,7,595
2026-02-03,14:16,14:31,DA03T,da,DA03T_TPI,DA03T_TPI_RUN2_O2.csv,light,run2,0,3,7,595
2026-02-03,14:16,14:31,SF03T,sf,SF03T_TPI,SF03T_TPI_RUN2_O2.csv,light,run2,0,4,7,595
2026-02-03,14:16,14:31,BLANKAT01_RUN2,blank,BLANKAT01_TPI_RUN2,BLANKAT01_TPI_RUN2_O2.csv,light,run2,1,5,7,595
2026-02-03,14:16,14:31,AV01T,av,AV01T_TPI,AV01T_TPI_RUN2_O2.csv,light,run2,0,6,7,595
2026-02-03,14:16,14:31,SF04T,sf,SF04T_TPI,SF04T_TPI_RUN2_O2.csv,light,run2,0,7,7,595
2026-02-03,14:16,14:31,CS01T,cs,CS01T_TPI,CS01T_TPI_RUN2_O2.csv,light,run2,0,8,7,595
2026-02-03,14:16,14:31,BLANKAT02_RUN2,blank,BLANKAT02_TPI_RUN2,BLANKAT02_TPI_RUN2_O2.csv,light,run2,1,9,7,595
2026-02-03,14:16,14:31,AV04T,av,AV04T_TPI,AV04T_TPI_RUN2_O2.csv,light,run2,0,10,7,595
2026-02-03,14:16,14:31,GS01T,gs,GS01T_TPI,GS01T_TPI_RUN2_O2.csv,light,run2,0,11,7,595
2026-02-03,14:16,14:31,AS02T,as,AS02T_TPI,AS02T_TPI_RUN2_O2.csv,light,run2,0,12,7,595
2026-02-03,14:42,14:57,AS01T,as,AS01T_TPI,AS01T_TPI_RUN2_O2.csv,light,run2,0,1,8,690
2026-02-03,14:42,14:57,CS04T,cs,CS04T_TPI,CS04T_TPI_RUN2_O2.csv,light,run2,0,2,8,690
2026-02-03,14:42,14:57,DA03T,da,DA03T_TPI,DA03T_TPI_RUN2_O2.csv,light,run2,0,3,8,690
